IncidentId,CreateDate,IcmType,Severity,Status,ChildCount,OwningTeamName,OwningContactAlias,Title,AcknowledgeTeamId,AcknowledgeTeamName,TenantName,AcknowledgeDateInDate,AcknowledgeDate,AcknowledgeContactAlias,IcmLink,AckType
707533033,2025-11-06 11:19:16.980000+00:00,Runner,3,RESOLVED,0,CLOUDNET\SDNE2ERunners,v-njammula,[Control Path: RNC] Runner Name: AzNetToolsRunners.SharedVNetNicCaUpdateRunner Region: useast2euap Instance: azfRNCSharedVNetNicCaUpdateRunneruseast2euapProd Phase: UpdateSharedVnetVmNicCa,82812,RNC,Cloudnet,2025-11-06,2025-11-06 11:24:30.627000+00:00,v-chrajak,https://portal.microsofticm.com/imp/v5/incidents/details/707533033/summary,Incident Transferred
707490704,2025-11-06 09:10:30.267000+00:00,LiveSite,25,RESOLVED,0,CLOUDNET\SDNToolsTeam,schanimella,[Service Tag: AzureDevOpsNonProd] We have IPs available but No matching inventory for the requested VIP of address,10549,NRP,Cloudnet,2025-11-06,2025-11-06 12:03:23.713000+00:00,piyushmishra,https://portal.microsofticm.com/imp/v5/incidents/details/707490704/summary,Incident Transferred
707533034,2025-11-06 11:19:17.277000+00:00,Runner,25,RESOLVED,0,CLOUDNET\SDNE2ERunners,cesarlazo,[Control Path: RNC] Runner Name: AzNetToolsRunners.SharedVNetNicCaUpdateRunner Region: uscentraleuap Instance: azfRNCSharedVNetNicCaUpdateRunneruscentraleuapProd Phase: DeployProviderArmTemplate,39447,SDN E2E Runners,Cloudnet,2025-11-06,2025-11-06 14:30:20.983000+00:00,v-njammula,https://portal.microsofticm.com/imp/v5/incidents/details/707533034/summary,Incident Transferred
707533033,2025-11-06 11:19:16.980000+00:00,Runner,3,RESOLVED,0,CLOUDNET\SDNE2ERunners,v-njammula,[Control Path: RNC] Runner Name: AzNetToolsRunners.SharedVNetNicCaUpdateRunner Region: useast2euap Instance: azfRNCSharedVNetNicCaUpdateRunneruseast2euapProd Phase: UpdateSharedVnetVmNicCa,39447,SDN E2E Runners,Cloudnet,2025-11-06,2025-11-06 14:30:20.997000+00:00,v-njammula,https://portal.microsofticm.com/imp/v5/incidents/details/707533033/summary,Incident Transferred
707375744,2025-11-06 02:47:16.430000+00:00,LiveSite,25,RESOLVED,0,CLOUDNET\RNM,petjohn,[Security Violation] AllowBringYourOwnIpAddress feature flag detected on probably 3rd party subscription: 7eaeac6a-cb96-4761-abd8-d4acab2aa719,10661,RNM,Cloudnet,2025-11-06,2025-11-06 17:03:13.940000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/707375744/summary,Incident Transferred
707375715,2025-11-06 02:47:10.987000+00:00,LiveSite,25,RESOLVED,4,CLOUDNET\RNM,petjohn,[Security Violation] AllowBringYourOwnIpAddress feature flag detected on probably 3rd party subscription: 85736b19-1320-4c54-9e5a-bce08b38776d,10661,RNM,Cloudnet,2025-11-06,2025-11-06 17:06:38.987000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/707375715/summary,Incident Transferred
706314369,2025-11-03 19:59:06.663000+00:00,LiveSite,3,ACTIVE,0,CLOUDNET\NRP,,CrashLoopBackOff in some clusters,10549,NRP,Cloudnet,2025-11-06,2025-11-06 17:08:34.683000+00:00,sravanan,https://portal.microsofticm.com/imp/v5/incidents/details/706314369/summary,Incident Transferred
707431040,2025-11-06 05:57:44.237000+00:00,LiveSite,25,RESOLVED,0,CLOUDNET\RNM,petjohn,[Security Violation] AllowBringYourOwnIpAddress feature flag detected on probably 3rd party subscription: aa89f5a2-ae4e-4a5a-88ab-30364b308558,10661,RNM,Cloudnet,2025-11-06,2025-11-06 17:09:29.763000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/707431040/summary,Incident Transferred
707431093,2025-11-06 05:57:53.940000+00:00,LiveSite,25,RESOLVED,0,CLOUDNET\RNM,petjohn,[Security Violation] AllowBringYourOwnIpAddress feature flag detected on probably 3rd party subscription: 2937be0b-d810-4489-bc65-d4cf671bd64f,10661,RNM,Cloudnet,2025-11-06,2025-11-06 17:12:41.687000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/707431093/summary,Incident Transferred
707431081,2025-11-06 05:57:51.710000+00:00,LiveSite,25,RESOLVED,0,CLOUDNET\RNM,petjohn,[Security Violation] AllowBringYourOwnIpAddress feature flag detected on probably 3rd party subscription: 06579a5c-70c5-4a0e-b750-68e1c5ca8d47,10661,RNM,Cloudnet,2025-11-06,2025-11-06 17:15:41.367000+00:00,ambhatta,https://portal.microsofticm.com/imp/v5/incidents/details/707431081/summary,Incident Transferred
